BillingID,ReservationID,IssueDate,DueDate,TotalAmount,DiscountAmount,AmountPaid,PaymentDate,PaymentMethod,Status
1,7375,10/4/2024,10/11/2024,759.1,75.31,759.1,10/6/2024,Bank Transfer,Paid
2,6783,2/14/2022,2/21/2022,1481.2,0,1481.2,2/17/2022,Cash,Paid
3,24506,6/26/2022,7/3/2022,5932.46,0,5932.46,6/29/2022,Credit Card,Paid
4,686,1/17/2021,1/24/2021,543.01,0,0,,Cash,Overdue
5,13933,3/21/2024,3/28/2024,2850.96,449.21,2850.96,3/25/2024,Cash,Paid
6,6539,5/6/2021,5/13/2021,1421.43,223.96,0,,Cash,Overdue
7,15762,9/22/2022,9/29/2022,5132.97,0,5132.97,9/24/2022,Credit Card,Paid
8,6213,1/17/2024,1/24/2024,3002.37,0,3002.37,1/18/2024,Credit Card,Paid
9,8336,5/12/2022,5/19/2022,5040.95,794.27,0,,Cash,Pending
10,2930,6/4/2020,6/11/2020,4162.91,0,4162.91,6/5/2020,Bank Transfer,Paid
11,20446,2/3/2020,2/10/2020,4538.42,0,4538.42,2/7/2020,Corporate Account,Paid
12,11863,10/28/2025,11/4/2025,1193.99,56.11,1193.99,11/1/2025,Credit Card,Paid
13,23128,1/5/2023,1/12/2023,5356.22,0,5356.22,1/6/2023,Bank Transfer,Paid
14,9587,10/21/2022,10/28/2022,2103.68,98.86,2103.68,10/24/2022,Cash,Paid
15,6157,12/19/2024,12/26/2024,905.76,202.18,0,,Credit Card,Pending
16,7127,6/15/2025,6/22/2025,2027.59,0,0,,Bank Transfer,Pending
17,14410,1/10/2022,1/17/2022,2306.24,0,2306.24,1/10/2022,Credit Card,Paid
18,1319,2/24/2025,3/3/2025,4037.67,0,4037.67,2/26/2025,Credit Card,Paid
19,16868,7/2/2021,7/9/2021,3840.42,605.11,3840.42,7/3/2021,Credit Card,Paid
20,19269,2/12/2021,2/19/2021,1060.52,0,0,,Credit Card,Pending
21,22113,6/4/2022,6/11/2022,6079.81,0,6079.81,6/4/2022,Credit Card,Paid
22,11834,2/12/2020,2/19/2020,1832.97,0,1832.97,2/12/2020,Cash,Paid
23,21141,12/20/2020,12/27/2020,2807.42,0,2807.42,12/23/2020,Cash,Paid
24,10146,4/10/2025,4/17/2025,1085.95,0,1085.95,4/13/2025,Corporate Account,Paid
25,12168,12/8/2025,12/15/2025,448.44,0,448.44,12/8/2025,Credit Card,Paid
26,20315,2/25/2023,3/4/2023,1852.28,0,0,,Credit Card,Pending
27,5181,4/25/2023,5/2/2023,2455.91,0,2455.91,4/26/2023,Bank Transfer,Paid
28,24040,11/23/2020,11/30/2020,2781.61,0,2781.61,11/23/2020,Cash,Paid
29,23281,7/18/2022,7/25/2022,1885.53,187.06,1885.53,7/18/2022,Bank Transfer,Paid
30,3235,11/15/2021,11/22/2021,2066.67,205.03,2066.67,11/15/2021,Cash,Paid
31,305,9/13/2024,9/20/2024,5856.3,0,5856.3,9/18/2024,Credit Card,Paid
32,18252,6/5/2023,6/12/2023,1624.61,0,1624.61,6/7/2023,Credit Card,Paid
33,11849,11/26/2020,12/3/2020,610.57,0,610.57,11/26/2020,Corporate Account,Paid
34,9359,3/23/2023,3/30/2023,5545.38,0,5545.38,3/25/2023,Credit Card,Paid
35,22431,4/28/2024,5/5/2024,1964.17,92.3,0,,Bank Transfer,Overdue
36,19126,5/25/2024,6/1/2024,4982.83,0,4982.83,5/27/2024,Bank Transfer,Paid
37,12027,2/12/2020,2/19/2020,452.84,0,452.84,2/14/2020,Bank Transfer,Paid
38,24004,8/7/2025,8/14/2025,2853.27,0,2853.27,8/7/2025,Credit Card,Paid
39,2444,11/3/2023,11/10/2023,2296.11,227.79,2296.11,11/5/2023,Corporate Account,Paid
40,1044,12/20/2025,12/27/2025,1312.79,0,1312.79,12/22/2025,Corporate Account,Paid
41,7607,6/12/2024,6/19/2024,2997.53,140.86,2997.53,6/16/2024,Credit Card,Paid
42,16820,1/15/2024,1/22/2024,1451.35,143.98,0,,Bank Transfer,Pending
43,14896,8/1/2020,8/8/2020,346.74,0,346.74,8/2/2020,Corporate Account,Paid
44,1288,10/6/2020,10/13/2020,1316.21,0,1316.21,10/6/2020,Cash,Paid
45,21653,6/26/2024,7/3/2024,1990.98,197.52,1990.98,6/29/2024,Credit Card,Paid
46,20956,6/7/2020,6/14/2020,2683.1,0,2683.1,6/9/2020,Credit Card,Paid
47,4999,10/2/2023,10/9/2023,1750.96,0,1750.96,10/5/2023,Corporate Account,Paid
48,17870,12/11/2025,12/18/2025,4014.37,0,4014.37,12/13/2025,Bank Transfer,Paid
49,512,8/8/2024,8/15/2024,1967.48,195.19,1967.48,8/9/2024,Credit Card,Paid
50,14243,10/13/2022,10/20/2022,5197.63,0,5197.63,10/14/2022,Corporate Account,Paid
51,9334,12/6/2020,12/13/2020,391.36,61.66,391.36,12/6/2020,Cash,Paid
52,13350,6/9/2022,6/16/2022,4739.73,0,4739.73,6/14/2022,Credit Card,Paid
53,5332,12/16/2023,12/23/2023,443.54,0,443.54,12/21/2023,Bank Transfer,Paid
54,15439,6/26/2020,7/3/2020,1136.16,0,1136.16,6/26/2020,Cash,Paid
55,2934,1/10/2022,1/17/2022,3038.61,0,0,,Cash,Pending
56,19984,7/26/2025,8/2/2025,4487.06,0,4487.06,7/26/2025,Cash,Paid
57,14577,2/5/2020,2/12/2020,919.35,91.2,919.35,2/5/2020,Bank Transfer,Paid
58,126,1/18/2024,1/25/2024,4567.23,0,4567.23,1/19/2024,Bank Transfer,Paid
59,8056,8/16/2021,8/23/2021,1108.35,0,1108.35,8/17/2021,Credit Card,Paid
