GuestID,ServiceID,Rating,Comments,FeedbackDate
66,9,3,Fair experience,12/18/2023
2584,8,5,Amazing staff!,2/21/2024
1251,10,2,Poor service,3/13/2021
299,10,4,Nice experience,11/2/2022
3,6,3,Okay service,7/9/2020
2546,8,3,Decent hotel,12/1/2025
227,2,5,Perfect stay!,10/10/2023
2477,7,3,Could be better,9/5/2024
933,5,5,Excellent service!,3/19/2022
1253,9,4,Good value,4/14/2025
1955,12,4,Friendly staff,9/4/2022
2186,10,4,Very good service,8/1/2020
1336,14,2,Disappointing,8/12/2022
883,6,1,Terrible experience,8/8/2021
2206,9,5,Perfect stay!,9/19/2022
103,13,4,Friendly staff,11/8/2023
1863,9,5,Highly recommend!,2/3/2020
2549,8,5,Excellent service!,11/10/2025
152,2,4,Good value,12/31/2022
2485,9,5,Outstanding experience!,11/29/2024
1495,14,5,Perfect stay!,3/14/2022
2923,1,2,Not satisfied,1/9/2024
2488,11,2,Disappointing,2/22/2021
1340,8,1,Extremely disappointed,9/5/2025
1777,6,5,Highly recommend!,1/8/2025
1845,14,4,Nice experience,1/24/2023
1537,3,5,Amazing staff!,7/22/2023
201,12,2,Not satisfied,9/10/2025
310,4,4,Friendly staff,5/24/2025
2777,7,2,Poor service,9/6/2024
767,7,1,Extremely disappointed,3/9/2025
2972,9,4,Good value,10/2/2025
879,9,4,Friendly staff,8/27/2020
2650,7,4,Great hotel!,10/25/2025
1602,7,5,Perfect stay!,3/21/2025
1167,4,4,Nice experience,1/28/2023
1008,12,4,Very good service,11/2/2020
2256,12,3,Okay service,3/6/2023
1040,11,4,Good value,10/29/2021
1670,9,4,Very good service,2/20/2022
344,4,4,Great hotel!,12/21/2023
106,14,5,Amazing staff!,9/4/2023
2879,12,4,Good value,1/26/2020
2818,13,5,Excellent service!,1/8/2020
896,10,3,Average stay,8/21/2022
2472,5,3,Okay service,5/7/2023
1562,11,5,Highly recommend!,4/2/2024
86,1,4,Very good service,2/3/2025
2969,2,5,Highly recommend!,12/1/2021
104,4,4,Nice experience,4/15/2024
2321,3,2,Below expectations,11/7/2023
1174,14,4,Very good service,7/26/2023
340,12,5,Highly recommend!,2/29/2020
1313,7,5,Outstanding experience!,11/26/2024
707,1,5,Highly recommend!,9/18/2024
2568,8,3,Could be better,5/11/2024
1859,10,5,Excellent service!,3/5/2022
2451,7,2,Disappointing,9/9/2021
1365,14,5,Perfect stay!,5/31/2021
2601,7,2,Not satisfied,4/21/2021
2288,1,3,Decent hotel,9/20/2020
1761,2,4,Nice experience,11/29/2022
1499,6,5,Perfect stay!,4/7/2024
523,10,5,Excellent service!,9/1/2022
2428,8,3,Average stay,4/10/2025
1297,12,4,Great hotel!,7/14/2024
1886,6,1,Very poor,1/10/2022
2010,10,4,Friendly staff,10/24/2022
39,14,5,Excellent service!,5/16/2024
24,14,2,Not satisfied,11/8/2023
1041,4,5,Excellent service!,11/29/2022
429,7,2,Not satisfied,10/17/2021
2309,12,4,Nice experience,12/2/2023
2251,14,3,Fair experience,2/3/2024
1269,2,4,Nice experience,12/29/2022
1077,13,4,Very good service,4/30/2024
689,2,3,Average stay,11/13/2020
1361,12,1,Awful service,4/10/2025
1491,9,4,Very good service,7/26/2023
1438,9,4,Very good service,8/17/2023
2692,3,4,Good value,9/11/2025
2818,2,3,Decent hotel,9/30/2021
2499,5,1,Would not recommend,2/4/2024
2639,11,4,Good value,2/25/2021
2794,2,3,Fair experience,8/11/2020
2825,10,4,Nice experience,5/10/2025
1161,12,3,Fair experience,11/30/2021
878,6,5,Perfect stay!,11/20/2024
2091,11,4,Great hotel!,4/21/2022
1722,15,4,Very good service,7/2/2024
1090,9,4,Great hotel!,9/21/2025
1841,3,4,Friendly staff,10/15/2020
1476,5,2,Below expectations,3/25/2020
1295,8,5,Excellent service!,4/7/2022
219,1,4,Friendly staff,1/16/2020
2011,14,1,Very poor,3/1/2025
287,4,4,Very good service,10/8/2021
77,2,3,Okay service,10/9/2023
2131,9,5,Amazing staff!,12/5/2025
708,14,5,Highly recommend!,6/21/2022
2872,14,3,Average stay,8/10/2020
1679,9,5,Excellent service!,10/31/2025
999,14,3,Okay service,10/29/2022
1139,7,5,Amazing staff!,3/24/2020
1548,11,5,Amazing staff!,8/1/2021
21,6,4,Very good service,7/23/2022
2108,4,3,Okay service,8/16/2024
969,5,3,Average stay,5/10/2025
867,8,5,Amazing staff!,9/10/2023
1566,4,4,Great hotel!,3/30/2025
283,13,2,Needs improvement,1/18/2022
1159,15,5,Amazing staff!,1/21/2021
2455,5,4,Nice experience,12/31/2022
2833,10,4,Very good service,11/26/2022
1325,6,3,Could be better,1/13/2025
911,11,4,Great hotel!,10/12/2021
1332,14,3,Could be better,10/28/2022
1706,8,3,Average stay,4/2/2020
2101,13,4,Very good service,8/6/2021
1124,8,5,Excellent service!,1/16/2023
2291,10,5,Highly recommend!,7/29/2025
1830,3,5,Excellent service!,2/22/2021
1217,6,5,Outstanding experience!,7/27/2022
1321,1,4,Friendly staff,7/14/2020
2598,3,3,Okay service,7/3/2021
820,7,5,Excellent service!,9/24/2022
856,5,2,Not satisfied,4/24/2022
2618,6,5,Amazing staff!,5/24/2024
1167,8,5,Amazing staff!,7/6/2024
2102,7,4,Friendly staff,9/28/2021
2997,12,5,Excellent service!,10/24/2021
688,4,3,Could be better,6/1/2020
334,11,5,Amazing staff!,4/11/2020
384,7,2,Below expectations,10/31/2020
1736,10,4,Very good service,7/12/2025
1242,4,4,Friendly staff,11/16/2025
882,11,4,Good value,3/23/2025
973,8,5,Excellent service!,6/5/2021
2144,15,5,Amazing staff!,12/2/2025
399,3,3,Okay service,8/17/2025
953,1,5,Outstanding experience!,10/14/2023
1849,2,5,Outstanding experience!,2/3/2020
1484,12,4,Friendly staff,8/13/2023
927,14,5,Outstanding experience!,4/19/2022
1277,7,3,Okay service,4/10/2023
1000,13,5,Highly recommend!,4/26/2023
1319,13,4,Great hotel!,3/14/2021
2192,6,1,Terrible experience,5/21/2025
560,3,5,Highly recommend!,10/20/2025
529,13,5,Excellent service!,7/27/2024
2430,10,4,Friendly staff,7/13/2020
2096,10,4,Very good service,7/10/2025
210,1,2,Poor service,1/31/2020
2802,6,4,Nice experience,3/1/2023
73,2,5,Perfect stay!,1/23/2023
2606,15,4,Very good service,12/1/2020
1109,6,5,Excellent service!,10/10/2023
2219,11,2,Needs improvement,3/3/2022
2203,12,4,Friendly staff,11/15/2025
2636,5,4,Great hotel!,6/3/2024
2807,1,4,Very good service,9/28/2021
1771,3,5,Outstanding experience!,4/22/2025
761,7,3,Fair experience,11/11/2025
340,14,3,Okay service,4/4/2021
262,6,4,Good value,7/30/2024
766,11,5,Amazing staff!,4/6/2023
83,4,4,Nice experience,2/5/2024
335,12,3,Average stay,10/8/2025
2363,2,3,Average stay,3/13/2022
1479,15,4,Great hotel!,12/28/2024
428,15,4,Nice experience,1/5/2020
1531,1,4,Nice experience,10/20/2020
764,12,4,Good value,1/22/2021
302,9,1,Very poor,3/7/2020
586,3,2,Below expectations,6/24/2022
1835,9,3,Fair experience,9/19/2021
1035,3,3,Average stay,2/23/2022
1601,3,4,Very good service,8/6/2025
286,7,3,Fair experience,7/21/2023
1440,10,5,Amazing staff!,3/12/2025
609,8,2,Not satisfied,9/26/2025
2155,2,3,Okay service,10/11/2025
2179,2,4,Great hotel!,8/16/2022
1722,1,3,Okay service,5/17/2020
648,13,4,Great hotel!,7/10/2025
816,12,3,Okay service,5/15/2024
2775,6,1,Extremely disappointed,11/14/2022
1205,6,3,Decent hotel,9/24/2025
2113,10,4,Very good service,6/15/2023
2967,10,3,Decent hotel,6/5/2024
2077,12,5,Perfect stay!,2/14/2024
1554,7,2,Not satisfied,8/20/2022
1111,8,2,Below expectations,11/9/2020
626,6,4,Nice experience,4/11/2025
586,12,5,Outstanding experience!,10/21/2024
1575,6,4,Very good service,5/16/2022
2925,4,4,Nice experience,3/16/2022
2446,5,2,Disappointing,4/11/2022
630,5,2,Not satisfied,3/17/2024
1602,6,4,Friendly staff,6/2/2021
2681,3,5,Outstanding experience!,12/5/2022
2205,4,5,Outstanding experience!,11/10/2025
2480,10,1,Would not recommend,11/17/2025
2903,2,5,Highly recommend!,7/31/2025
156,13,5,Excellent service!,8/7/2022
2863,12,4,Good value,9/7/2025
2096,11,5,Amazing staff!,10/9/2022
1858,3,2,Disappointing,4/7/2022
2868,9,3,Fair experience,3/18/2024
1206,10,5,Outstanding experience!,1/7/2020
601,7,3,Okay service,7/24/2020
2580,4,3,Could be better,5/17/2025
454,3,5,Excellent service!,8/3/2024
320,7,4,Good value,12/3/2020
651,9,4,Very good service,10/31/2025
1987,13,4,Great hotel!,8/28/2021
2180,11,5,Perfect stay!,7/3/2020
1286,15,5,Amazing staff!,4/24/2022
152,2,3,Average stay,7/1/2020
2470,14,5,Perfect stay!,9/30/2023
1042,8,4,Friendly staff,7/20/2025
2881,6,5,Outstanding experience!,5/28/2022
97,15,4,Good value,10/29/2020
820,2,2,Poor service,5/15/2023
1190,12,4,Friendly staff,10/6/2023
390,8,5,Highly recommend!,2/4/2024
1799,1,3,Okay service,10/30/2025
583,12,4,Great hotel!,9/9/2023
1980,9,1,Extremely disappointed,4/21/2023
1944,6,3,Okay service,8/5/2023
805,8,4,Great hotel!,6/20/2021
2713,6,5,Outstanding experience!,1/30/2020
2396,1,5,Excellent service!,10/27/2023
2241,4,2,Not satisfied,6/4/2021
1030,1,2,Below expectations,10/22/2025
1310,3,5,Excellent service!,2/6/2022
2087,9,5,Excellent service!,3/13/2021
1661,8,2,Below expectations,6/19/2021
1064,9,3,Could be better,12/24/2020
2932,3,5,Highly recommend!,8/30/2020
441,6,4,Great hotel!,10/15/2020
1524,4,3,Fair experience,12/20/2020
329,5,5,Outstanding experience!,12/13/2023
181,2,2,Disappointing,4/28/2022
2617,12,5,Highly recommend!,7/31/2025
465,10,4,Very good service,10/12/2020
1525,6,3,Fair experience,12/5/2020
16,13,3,Fair experience,10/29/2022
2205,5,2,Poor service,5/18/2024
2101,11,5,Amazing staff!,9/19/2025
2633,5,5,Excellent service!,10/3/2022
668,10,4,Great hotel!,9/2/2025
812,4,3,Fair experience,11/22/2023
618,5,1,Awful service,4/1/2020
1489,3,4,Friendly staff,11/10/2022
2507,4,4,Nice experience,8/12/2025
39,4,5,Excellent service!,1/16/2024
706,1,4,Nice experience,11/3/2020
1579,8,4,Very good service,7/25/2025
1922,2,5,Outstanding experience!,11/8/2025
458,8,4,Friendly staff,10/15/2020
783,12,5,Amazing staff!,1/5/2023
367,3,5,Amazing staff!,7/4/2024
1670,1,3,Okay service,4/13/2021
104,13,4,Good value,6/26/2021
2769,15,4,Friendly staff,3/5/2023
1761,14,5,Highly recommend!,12/20/2021
2952,5,5,Excellent service!,10/14/2024
2749,7,5,Highly recommend!,3/22/2024
524,8,2,Below expectations,9/5/2024
1060,3,3,Decent hotel,5/19/2023
1817,12,4,Very good service,8/26/2025
1724,6,5,Outstanding experience!,10/12/2023
1687,8,5,Perfect stay!,3/31/2024
2513,12,5,Excellent service!,2/14/2022
2435,7,5,Perfect stay!,10/24/2024
1833,15,5,Excellent service!,10/16/2025
1619,7,5,Amazing staff!,3/23/2023
2467,7,2,Not satisfied,2/27/2021
1524,8,1,Would not recommend,11/4/2022
2806,9,4,Great hotel!,5/27/2021
430,10,3,Okay service,1/6/2024
730,6,3,Could be better,5/26/2022
1777,3,3,Could be better,12/30/2022
2361,5,4,Good value,2/6/2025
639,6,2,Below expectations,3/21/2021
1654,5,3,Fair experience,3/26/2023
1694,4,5,Highly recommend!,1/29/2023
1349,1,4,Great hotel!,10/26/2021
2155,15,4,Nice experience,4/19/2020
2926,7,3,Average stay,8/10/2023
1072,10,5,Excellent service!,12/20/2025
1639,14,3,Average stay,9/17/2023
1513,5,1,Awful service,9/19/2025
2173,7,2,Not satisfied,4/29/2024
1859,7,4,Nice experience,12/12/2021
2403,14,3,Could be better,6/24/2025
1288,5,2,Not satisfied,7/2/2023
2200,4,4,Very good service,6/13/2025
1733,8,3,Could be better,12/19/2024
1767,6,4,Good value,8/25/2025
1287,14,5,Highly recommend!,1/9/2021
2078,14,5,Highly recommend!,1/8/2025
1047,7,4,Good value,8/30/2024
2052,6,4,Great hotel!,3/1/2025
2979,6,4,Friendly staff,6/2/2020
1901,3,4,Great hotel!,9/16/2024
1637,6,3,Okay service,10/21/2020
2773,14,5,Amazing staff!,10/18/2023
1596,4,3,Decent hotel,12/21/2020
2260,5,5,Amazing staff!,7/27/2023
346,8,2,Needs improvement,11/17/2025
2556,11,4,Great hotel!,1/2/2025
773,10,4,Nice experience,1/20/2024
2963,14,1,Extremely disappointed,5/24/2021
1387,7,3,Okay service,2/25/2020
157,6,5,Amazing staff!,12/9/2024
1291,2,5,Outstanding experience!,7/21/2025
2343,8,2,Below expectations,6/22/2023
412,11,5,Highly recommend!,5/24/2023
69,9,3,Decent hotel,3/20/2020
2659,12,2,Poor service,3/2/2024
1655,1,5,Outstanding experience!,9/21/2024
2269,8,4,Nice experience,9/24/2024
1242,11,4,Nice experience,5/16/2023
1291,10,5,Excellent service!,4/12/2022
591,6,2,Needs improvement,3/8/2024
1367,4,3,Decent hotel,4/11/2023
1226,10,5,Excellent service!,9/20/2020
2080,6,1,Would not recommend,6/13/2024
899,1,4,Very good service,12/13/2024
893,14,4,Good value,10/23/2021
1057,9,4,Good value,1/4/2022
42,13,4,Good value,2/21/2022
2308,9,5,Excellent service!,8/31/2024
1037,1,3,Could be better,7/14/2023
1859,2,5,Perfect stay!,9/19/2022
2086,13,4,Very good service,5/12/2025
1855,1,5,Perfect stay!,4/28/2020
340,4,4,Very good service,6/3/2021
908,12,4,Nice experience,10/24/2022
1323,7,3,Fair experience,12/15/2023
1224,12,4,Nice experience,12/21/2022
1209,6,5,Highly recommend!,7/28/2021
1728,1,1,Very poor,2/21/2021
2732,14,3,Okay service,11/16/2025
1032,7,4,Friendly staff,12/17/2023
2372,8,5,Perfect stay!,4/11/2023
1460,15,5,Perfect stay!,9/8/2024
2671,11,4,Very good service,6/23/2021
2842,11,4,Nice experience,7/14/2025
371,2,4,Good value,9/6/2022
30,12,3,Okay service,1/27/2022
520,2,4,Nice experience,2/24/2020
2994,3,5,Amazing staff!,5/15/2021
606,8,5,Perfect stay!,4/2/2024
744,11,5,Perfect stay!,4/11/2025
2170,7,5,Perfect stay!,8/6/2022
984,14,5,Excellent service!,3/22/2022
745,6,4,Good value,12/5/2024
2729,2,3,Could be better,1/13/2020
1904,5,4,Good value,3/25/2023
1899,6,5,Outstanding experience!,11/28/2021
2636,1,5,Perfect stay!,11/30/2024
682,6,4,Very good service,12/29/2020
2435,5,4,Great hotel!,1/25/2022
1519,3,5,Amazing staff!,1/20/2023
855,12,4,Friendly staff,9/5/2023
841,3,4,Good value,4/25/2023
216,15,2,Below expectations,11/16/2023
30,5,5,Amazing staff!,1/31/2020
428,3,5,Amazing staff!,5/1/2022
1358,2,5,Highly recommend!,9/21/2025
635,11,3,Okay service,11/18/2025
287,8,5,Highly recommend!,1/7/2022
207,3,3,Okay service,1/1/2024
2406,5,4,Good value,12/28/2022
1635,4,1,Would not recommend,6/30/2023
847,12,3,Fair experience,5/6/2025
1938,14,5,Excellent service!,3/6/2025
910,12,5,Outstanding experience!,10/1/2025
407,11,5,Highly recommend!,1/15/2023
2864,15,5,Outstanding experience!,6/2/2023
2979,8,5,Outstanding experience!,8/1/2020
1833,14,5,Perfect stay!,9/29/2020
654,12,3,Decent hotel,12/12/2020
2585,4,4,Good value,10/17/2020
913,9,4,Great hotel!,2/4/2021
2444,11,2,Not satisfied,5/25/2021
488,7,4,Friendly staff,7/15/2021
1977,15,5,Outstanding experience!,4/11/2024
6,2,5,Perfect stay!,7/26/2025
379,8,4,Great hotel!,8/14/2022
1398,5,4,Friendly staff,1/21/2024
972,2,2,Poor service,1/29/2025
231,3,5,Highly recommend!,9/3/2021
1821,5,4,Great hotel!,8/7/2021
2691,13,4,Nice experience,6/21/2024
2070,10,1,Awful service,7/3/2022
19,5,3,Could be better,12/9/2023
2192,7,4,Nice experience,12/22/2023
1515,15,4,Nice experience,7/30/2022
593,13,3,Okay service,12/30/2025
2155,9,5,Perfect stay!,1/18/2022
2609,8,3,Okay service,12/6/2024
1086,6,5,Outstanding experience!,2/13/2021
1676,2,4,Friendly staff,12/15/2020
2657,11,2,Poor service,3/23/2021
1001,9,5,Outstanding experience!,7/3/2024
2600,8,5,Outstanding experience!,1/14/2025
1540,10,5,Highly recommend!,12/6/2023
1754,8,5,Highly recommend!,9/15/2022
916,9,5,Amazing staff!,10/29/2020
559,13,4,Friendly staff,5/29/2021
1930,8,5,Highly recommend!,9/15/2024
2717,3,5,Amazing staff!,6/8/2020
2278,7,4,Nice experience,8/22/2022
822,6,3,Okay service,11/21/2021
2541,8,5,Highly recommend!,5/25/2024
1297,10,4,Very good service,7/31/2025
1786,3,4,Good value,3/2/2020
2898,13,4,Friendly staff,8/6/2022
1023,13,2,Needs improvement,12/19/2021
2735,15,2,Disappointing,4/5/2021
242,14,4,Friendly staff,9/5/2020
2873,5,5,Perfect stay!,2/7/2023
830,6,4,Nice experience,11/10/2023
526,7,3,Average stay,9/25/2022
505,5,5,Highly recommend!,2/22/2024
126,8,4,Very good service,2/8/2021
763,9,3,Could be better,1/17/2022
69,15,3,Decent hotel,2/28/2021
1748,8,2,Not satisfied,10/23/2020
2104,14,5,Amazing staff!,6/24/2024
2823,13,5,Perfect stay!,3/2/2021
