ShiftID,EmployeeID,ShiftDate,StartTime,EndTime,DepartmentID,ShiftType,HoursWorked,OvertimeHours,Status
1,33,1/1/2020,6:00:00 AM,2:00:00 PM,1,Morning,9,1,Completed
2,49,1/1/2020,6:00:00 AM,2:00:00 PM,1,Morning,11,3,Missed
3,57,1/1/2020,2:00:00 PM,10:00:00 PM,1,Evening,6,0,Completed
4,73,1/1/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
5,25,1/1/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Missed
6,73,1/1/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Completed
7,50,1/1/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
8,10,1/1/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Scheduled
9,66,1/1/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
10,74,1/1/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
11,58,1/1/2020,2:00:00 PM,10:00:00 PM,2,Evening,10,2,Completed
12,98,1/1/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
13,82,1/1/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
14,10,1/1/2020,2:00:00 PM,10:00:00 PM,2,Evening,6,0,Completed
15,34,1/1/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Scheduled
16,42,1/1/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Scheduled
17,90,1/1/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
18,66,1/1/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Missed
19,83,1/1/2020,6:00:00 AM,2:00:00 PM,3,Morning,5,0,Completed
20,51,1/1/2020,6:00:00 AM,2:00:00 PM,3,Morning,12,4,Completed
21,35,1/1/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
22,67,1/1/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
23,83,1/1/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
24,43,1/1/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
25,11,1/1/2020,10:00:00 PM,6:00:00 AM,3,Night,6,0,Completed
26,83,1/1/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
27,75,1/1/2020,10:00:00 PM,6:00:00 AM,3,Night,9,1,Missed
28,12,1/1/2020,6:00:00 AM,2:00:00 PM,4,Morning,8,0,Completed
29,36,1/1/2020,2:00:00 PM,10:00:00 PM,4,Evening,8,0,Completed
30,84,1/1/2020,10:00:00 PM,6:00:00 AM,4,Night,8,0,Completed
31,85,1/1/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Scheduled
32,45,1/1/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
33,77,1/1/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Missed
34,85,1/1/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Scheduled
35,21,1/1/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Missed
36,85,1/1/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Completed
37,6,1/1/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
38,62,1/1/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
39,62,1/1/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
40,14,1/1/2020,2:00:00 PM,10:00:00 PM,6,Evening,12,4,Completed
41,94,1/1/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Missed
42,6,1/1/2020,10:00:00 PM,6:00:00 AM,6,Night,11,3,Completed
43,15,1/1/2020,6:00:00 AM,2:00:00 PM,7,Morning,8,0,Completed
44,55,1/1/2020,2:00:00 PM,10:00:00 PM,7,Evening,11,3,Missed
45,63,1/1/2020,10:00:00 PM,6:00:00 AM,7,Night,11,3,Completed
46,16,1/1/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
47,96,1/1/2020,6:00:00 AM,2:00:00 PM,8,Morning,10,2,Completed
48,8,1/1/2020,6:00:00 AM,2:00:00 PM,8,Morning,11,3,Completed
49,8,1/1/2020,2:00:00 PM,10:00:00 PM,8,Evening,12,4,Completed
50,64,1/1/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
51,32,1/1/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Scheduled
52,8,1/1/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
53,32,1/1/2020,10:00:00 PM,6:00:00 AM,8,Night,12,4,Completed
54,96,1/1/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
55,33,1/2/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
56,49,1/2/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
57,81,1/2/2020,2:00:00 PM,10:00:00 PM,1,Evening,12,4,Completed
58,25,1/2/2020,2:00:00 PM,10:00:00 PM,1,Evening,9,1,Missed
59,89,1/2/2020,10:00:00 PM,6:00:00 AM,1,Night,7,0,Completed
60,49,1/2/2020,10:00:00 PM,6:00:00 AM,1,Night,6,0,Completed
61,26,1/2/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
62,34,1/2/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
63,98,1/2/2020,6:00:00 AM,2:00:00 PM,2,Morning,11,3,Completed
64,58,1/2/2020,6:00:00 AM,2:00:00 PM,2,Morning,10,2,Completed
65,42,1/2/2020,2:00:00 PM,10:00:00 PM,2,Evening,9,1,Completed
66,34,1/2/2020,2:00:00 PM,10:00:00 PM,2,Evening,9,1,Completed
67,10,1/2/2020,2:00:00 PM,10:00:00 PM,2,Evening,7,0,Completed
68,82,1/2/2020,2:00:00 PM,10:00:00 PM,2,Evening,9,1,Completed
69,18,1/2/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
70,82,1/2/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
71,50,1/2/2020,10:00:00 PM,6:00:00 AM,2,Night,12,4,Scheduled
72,58,1/2/2020,10:00:00 PM,6:00:00 AM,2,Night,11,3,Completed
73,91,1/2/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
74,75,1/2/2020,6:00:00 AM,2:00:00 PM,3,Morning,11,3,Completed
75,35,1/2/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Missed
76,43,1/2/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
